#Release 12.3 - par M.70d (nt64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Fri Jul 22 10:02:42 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Old_School_map.ncd
#OUTPUT FILE:      Old_School_pad.csv
#PART TYPE:        xc3s1000
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
A4,,DIFFM,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,,,
A5,,IOB,IO,UNUSED,,0,,,,,,,,,
A6,,,VCCAUX,,,,,,,,2.5,,,,
A7,,IOB,IO,UNUSED,,0,,,,,,,,,
A8,,DIFFM,IO_L32P_0/GCLK6,UNUSED,,0,,,,,,,,,
A9,,IOB,IO,UNUSED,,1,,,,,,,,,
A10,,DIFFS,IO_L31N_1/VREF_1,UNUSED,,1,,,,,,,,,
A11,,,VCCAUX,,,,,,,,2.5,,,,
A12,RTS,IOB,IO,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A13,CTS,IOB,IO_L10N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
A14,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,
A15,,,TDO,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,
B1,RAM_DATA0<7>,IOB,IO_L01P_7/VRN_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
B2,,,GND,,,,,,,,,,,,
B3,,,PROG_B,,,,,,,,,,,,
B4,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,
B5,,DIFFM,IO_L25P_0,UNUSED,,0,,,,,,,,,
B6,,DIFFM,IO_L28P_0,UNUSED,,0,,,,,,,,,
B7,,DIFFM,IO_L30P_0,UNUSED,,0,,,,,,,,,
B8,,DIFFS,IO_L32N_0/GCLK7,UNUSED,,0,,,,,,,,,
B9,,,GND,,,,,,,,,,,,
B10,,DIFFM,IO_L31P_1,UNUSED,,1,,,,,,,,,
B11,,DIFFS,IO_L29N_1,UNUSED,,1,,,,,,,,,
B12,,DIFFS,IO_L27N_1,UNUSED,,1,,,,,,,,,
B13,RXD1,IOB,IO_L10P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
B14,TXD1,IOB,IO_L01P_1/VRN_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B15,,,GND,,,,,,,,,,,,
B16,,DIFFS,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,,,
C1,RAM_DATA0<6>,IOB,IO_L01N_7/VRP_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
